videoId,commentId,authorDisplayName,textOriginal,likeCount,student_1,student_2,student_3
-ecOhYIRv5s,UgyD-NugZh-GS_sEfJ94AaABAg,MAN SIN LAO,榨菜又名腦殘聰！他說美國貿易必勝，全世界只有他一人說美國貿易必勝，,403,,有關-中立0,有關-仇美-1
-sIfRKlTKN4,UgzX40PkrzO66JGpHrx4AaABAg.8rKQVJMJ6Wq8rLybzd18ny,熊哥,沒有。開工廠時還有請美國的團隊幫忙,388,,有關-中立0,無關對美立場
05qbnlygccA,UgwOh2GoMPJwTw4ee-F4AaABAg,Dai Mei REYTER,"看中美貿易之戰，一直有個疑問：
到底，郭的參選是為了救台灣人民，
還是，要台灣人民救郭的鴻海企業",359,,有關-中立0,無關對美立場
05qbnlygccA,UgwWtdv39oDduG4Hq514AaABAg,大支柱,郭想取代韓是痴人說夢話，想想郭說他和川普一樣，事實韓的經例是和川普最像。,356,,有關-中立0,無關對美立場
18Xx19xZsq4,UgyONHbn-7oBWE2Yonh4AaABAg,Happycat,"哈 哈 哈 ⋯⋯⋯⋯，蔡英文啊！蔡英文？！是總統嗎？！
比川普還要離譜？！
直接做蔡離譜如何？！
哈 哈 哈⋯⋯⋯⋯⋯⋯⋯⋯⋯⋯",723,,有關-中立0,無關對美立場
1Bu7DKMHSUI,UgzJ-b1XzKN-zTBBNDB4AaABAg.9-xCY0PPNRa9-xUzDOe960,Guessluggage,@李北芷。 沒錯 …蔡是來分裂我們中國人 亞洲人 … 你知道如果我們亞洲地區華人團結起來 ，人口比美國日本都還要多嗎 ！！！！,355,,無關對美立場,有關-仇美-1
1SgUy4tovGg,UgxTL-YE18_OMWefC5x4AaABAg,吳偉,拿金正恩換郭文貴 他自己幾斤幾兩不清楚 你們還不清楚嘛 郭文貴哪天會不會爆料出美國拿郭文貴跟中國換習近平啊  真的是腦子缺氧的人才會信,351,,無關對美立場,有關-仇美-1
1SgUy4tovGg,UgyD4yCt7Mzdsg5I_Y54AaABAg,臺灣屬於中國臺灣人也是堂堂正正的中國人,美國人戒告他們的廠商說：小心大陸用監控監視你們~~  美國廠商問政府：你怎麼知道我們要跟大陸廠商合作？   美國政府：當然那是在你們的電郵裏看到的啦,344,,有關-仇美-1,有關-仇美-1
1mne5GBp3s0,UgxyzzwJ-7kbeez1T2B4AaABAg,Jenn yu Ma,鳳韾穿白色好美好美喔❤️㊗️、美國🇺🇸韓家軍愛死妳了🇺🇸🇺🇸🇺🇸🇺🇸🙏,355,,有關-親美1,無關對美立場
1mne5GBp3s0,Ugzt3l7gXW7knnfof7d4AaABAg,春申君,郭台銘退選是他的大數據告訴他會輸第二次，名嘴們不要把事件越扯越複雜！郭學川普爭總統寶座，用得是商人手段！,354,,有關-中立0,無關對美立場
